Info 0    [20:49:35.642] Starting TS Server
Info 1    [20:49:35.642] Version: 4.7.2
Info 2    [20:49:35.642] Arguments: /home/mantis/.nvm/versions/node/v16.15.0/bin/node /home/mantis/.nvm/versions/node/v16.15.0/lib/node_modules/typescript/lib/tsserver.js --logFile /home/mantis/web/tests/simple-app/.log/tsserver.log --logVerbosity info --cancellationPipeName /tmp/1936eb98d9f10cb1e65e40f87abedcd2/tscancellation*
Info 3    [20:49:35.642] Platform: linux NodeVersion: 16 CaseSensitive: true
Info 4    [20:49:35.642] ServerMode: undefined syntaxOnly: false hasUnknownServerMode: undefined
Info 5    [20:49:35.649] Format host information updated
Info 6    [20:49:35.655] Search path: /home/mantis/web/tests/simple-app/src/js
Info 7    [20:49:35.655] For info: /home/mantis/web/tests/simple-app/src/js/index.js :: No config files found.
Info 8    [20:49:35.658] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 9    [20:49:36.607] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 1 structureChanged: true structureIsReused:: Not Elapsed: 949.4374540001154ms
Info 10   [20:49:36.608] Project '/dev/null/inferredProject1*' (Inferred)
Info 11   [20:49:36.608] 	Files (152)

Info 12   [20:49:36.608] -----------------------------------------------
Info 13   [20:49:37.273] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 14   [20:49:37.301] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 2 structureChanged: false structureIsReused:: Completely Elapsed: 27.869777008891106ms
Info 15   [20:49:37.301] Different program with same set of files
Info 16   [20:49:37.302] getCompletionData: Get current token: 0.006950005888938904
Info 17   [20:49:37.302] getCompletionData: Is inside comment: 0.02262100577354431
Info 18   [20:49:37.302] getCompletionData: Get previous token: 0.020830988883972168
Info 19   [20:49:37.306] getExportInfoMap: cache miss or empty; calculating new results
Info 20   [20:49:37.334] getExportInfoMap: done in 29.316102996468544 ms
Info 21   [20:49:37.342] collectAutoImports: resolved 0 module specifiers, plus 0 ambient and 0 from cache
Info 22   [20:49:37.342] collectAutoImports: response is complete
Info 23   [20:49:37.342] collectAutoImports: 7.891997009515762
Info 24   [20:49:37.342] getCompletionData: Semantic work: 40.30492199957371
Info 25   [20:49:37.359] getCompletionsAtPosition: getCompletionEntriesFromSymbols: 16.736965000629425
Info 26   [20:49:37.362] getCompletionData: Get current token: 0.003130003809928894
Info 27   [20:49:37.362] getCompletionData: Is inside comment: 0.00943000614643097
